email,password,role,uuid,first_name,last_name,date_of_birth,country,hiv_status,diagnosis_date,art_status,art_start_date,life_expectancy
admin@lpmt.com,$1$24uuid$P9Gf2tmbmZPmg1JO0JoaK1,admin,
user47348@aol.com,,patient,9F4403C6-6542-42CF-B7D3-6AFA78F70CE3,
user39595@gmail.com,$1$24uuid$P9Gf2tmbmZPmg1JO0JoaK1,patient,82AB7413-0A81-418C-8785-ED192221FFE5,Beht,Feratio,22/04/2002,Rwanda,P,04/03/2007,Y,12/07/2012,
joy@gmail.com,$1$24uuid$UrYav3Dq2zilHY5cq3hsE.,patient,B7D5754F-DFEA-4BF9-ACF5-19068C827FFC,Joy,nema,20-03-2000,Uganda,P,20-09-2005,Y,30-06-2008,
mary@gmail.com,$1$24uuid$lsfX1c7xEh7sbiM05gX/n.,patient,E0C83F64-C062-4E5B-AC28-DFB7507A25E1,Mary,Neda,03-08-1995,UGA,P,23-03-2000,Y,04-04-2008,
111,,patient,FF72566C-9F62-4FF8-8D12-143C8140E970
julius@gmail.com,,patient,151F0ED9-D739-417C-9BFE-8BFC02E608A9
kimuli@gmail.com,,patient,916EB590-1F92-42F6-8AD1-D91CC5795B9B
wasajja@gmail.com,$1$24uuid$Lmpmuldl3qMBEM2Bv4vp3/,patient,EC1DC60A-2524-4336-B999-B78BA3D0C9DC
alice91@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,A08AAD84-5E8E-4D2F-A58B-CFEF628559B1,Paul,Neda,07-05-1984,RWA,N,12-03-2001,N,22-04-2019,42
lucy82@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,C81CB877-4DB1-4269-9119-25C11EAED477,Mary,Garcia,19-04-1994,KEN,N,24-11-2010,N,20-11-2019,25
lucy19@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,BDC46133-726E-4257-AAA5-4B20D0ED92C5,Paul,Doe,10-11-2006,RWA,P,06-10-2020,N,18-08-2014,10
john9@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,DBC0CD39-69BD-4F63-9F07-638482F263FD,Lily,Wilson,17-08-1970,UGA,P,09-03-2001,N,18-11-2001,10
jane6@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,693DEF93-9478-431F-912B-16B3A34EEA10,John,Smith,09-02-1996,KEN,N,05-11-1991,N,19-10-2017,35
jane68@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,AE0CB136-E1F0-4FEB-BB3A-4262390B7661,Paul,Miller,07-10-1987,BDI,N,23-06-2007,N,14-06-2017,29
lucy15@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,E8948C98-7F91-465D-BE50-C35CA16CC528,Tom,Garcia,26-06-1977,KEN,N,28-06-2005,N,23-12-2004,38
mary46@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,4F823BDC-8011-4A1F-A0D6-88FFB59BF016,John,Davis,11-08-1984,BDI,P,21-09-2016,N,02-08-2020,15
john55@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,504D30AB-F394-4A7B-9265-23BA695A8428,Mary,Garcia,19-03-2003,UGA,N,02-10-2014,N,22-04-2009,45
tom52@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,45DDE2B6-F0E1-4CDF-A360-4F3B55A6E6BF,Alice,Miller,03-04-1970,KEN,N,06-12-2012,N,10-10-2003,11
mary100@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,DED99929-9A97-46F3-939B-6BAD38B42499,Lucy,Williams,24-04-1998,BDI,P,10-04-2013,N,27-09-2004,29
lily86@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,64C76C6E-2D13-49AB-8D4A-27E93EDBA74E,Peter,Davis,26-10-2008,BDI,P,06-01-1991,Y,26-02-2011,18
peter45@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,C5698AB8-5809-4F79-AE9C-44C97912838F,Paul,Miller,17-08-1998,RWA,N,22-01-2013,N,02-10-2016,13
john28@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,0E9F1135-ADEA-4B5D-8FE4-5F69183F8A35,Joy,Neda,21-06-1997,UGA,N,14-10-2004,Y,01-12-2002,10
tom33@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,FA4D9FC1-0D69-43BA-AD7F-20C50C0007EB,Alice,Williams,04-12-2004,TZA,N,09-10-2004,Y,15-01-2000,47
tom30@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,76E0C059-8950-4D51-A11E-4906C0FE2765,Jane,Doe,02-04-2003,TZA,N,10-08-1991,Y,07-06-2016,47
peter95@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,239C400D-3EF0-422E-B219-FDA02FADB98C,Peter,Davis,03-07-1980,TZA,N,15-11-2004,N,08-02-2019,43
paul46@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,182F5D2D-2127-4169-A7EE-E46174B732A5,Lily,Brown,06-11-2005,KEN,P,14-08-2019,Y,04-08-2010,37
jane89@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,38D04F5C-4680-4FE8-8952-4EF1B444B477,John,Brown,16-06-1992,BDI,N,08-09-2011,N,20-09-2016,12
alice99@gmail.com,$1$24uuid$5f4dcc3b5aa765d61d8327deb882cf99,patient,C4D5FC17-EAA7-4D98-B147-A7482F4CD3B1,John,Garcia,05-01-1981,UGA,P,07-02-2007,Y,05-03-1997,11
